"","mz","VIP"
"689.51325","689.51325",0.190856278709326
"799.22997","799.22997",0.190275186864499
"106.98098","106.98098",0.190242098471656
"139.11418","139.11418",0.188841722724436
"131.04880","131.04880",0.188272301566726
"299.20268","299.20268",0.1876495919271
"911.56848","911.56848",0.187590303391277
"671.07798","671.07798",0.187291378826642
"199.10091","199.10091",0.187164430070567
"400.95777","400.95777",0.187115758130133
"162.05153","162.05153",0.18701611027441
"183.00374","183.00374",0.186322971481444
"385.23213","385.23213",0.185886927528872
"561.97735","561.97735",0.185837798152821
"256.09887","256.09887",0.184847194336042
"464.31045","464.31045",0.183861179492704
"192.99510","192.99510",0.183478579629367
"475.05326","475.05326",0.183057474801075
"337.19786","337.19786",0.182298967371264
"191.18214","191.18214",0.181919015247834
"675.15014","675.15014",0.181751341952754
"153.03067","153.03067",0.181525348168639
"381.19180","381.19180",0.181359475309147
"243.19958","243.19958",0.18097232955263
"670.48485","670.48485",0.180833578287004
"210.05239","210.05239",0.180016987399437
"779.54476","779.54476",0.179581427352237
"910.55344","910.55344",0.179528098740098
"920.60102","920.60102",0.179399341734181
"612.23029","612.23029",0.179321579641776
"338.24422","338.24422",0.178814818416637
"200.01496","200.01496",0.177359027108516
"904.54694","904.54694",0.176856102329588
"902.53074","902.53074",0.176781553263045
"231.05685","231.05685",0.176776282530358
"621.33088","621.33088",0.176368718532851
"349.98160","349.98160",0.17565706229186
"667.16320","667.16320",0.175549767378912
"156.92640","156.92640",0.175501491654727
"208.00133","208.00133",0.1751827327878
"196.98675","196.98675",0.174901435132987
"345.15753","345.15753",0.171128843152633
"355.03664","355.03664",0.171029703467887
"223.17381","223.17381",0.17043037725194
"289.22095","289.22095",0.17038727662059
"632.19592","632.19592",0.17029544411046
"316.24038","316.24038",0.169277395845077
"409.24029","409.24029",0.169084628943845
"381.24562","381.24562",0.168781455616838
"310.11460","310.11460",0.168691942990071
"769.32196","769.32196",0.168546824428406
"764.37337","764.37337",0.168513857954532
"162.98450","162.98450",0.168377552418404
"683.26949","683.26949",0.167612000003331
"713.51549","713.51549",0.167286788444594
"456.03776","456.03776",0.166841261940407
"900.52398","900.52398",0.166682803869557
"326.07522","326.07522",0.16642453093218
"150.01937","150.01937",0.166294045371515
"466.00132","466.00132",0.165670422058977
"185.08414","185.08414",0.165207875096538
"906.57368","906.57368",0.164861476101068
"131.03697","131.03697",0.164466419663424
"435.22548","435.22548",0.163664763970759
"426.03131","426.03131",0.16285704590789
"263.16468","263.16468",0.1621510488666
"293.06571","293.06571",0.161934519759037
"440.25292","440.25292",0.161704457150845
"649.10982","649.10982",0.160890382795701
"385.17436","385.17436",0.160708332493027
