"","PC1","PC2","var"
"233.15816",0.0198140899904413,-0.0271078588950755,"233.15816"
"234.06663",0.0017260671540891,-0.0106985833509529,"234.06663"
"235.13719",0.0106151647596781,0.0199907106313436,"235.13719"
"235.17216",0.0326968920940078,0.01116639086183,"235.17216"
"236.02695",0.0160260051505464,0.00319818708803884,"236.02695"
"236.08013",0.0131116291087462,-0.0373283211398003,"236.08013"
"236.10454",-0.00161824513913587,-0.0113348909147767,"236.10454"
"236.87718",0.0151953875746746,-0.028498352727639,"236.87718"
"237.11302",0.0254550120830451,-0.0113590543298171,"237.11302"
"237.15277",0.0193405940985855,0.0121950322613962,"237.15277"
"238.99623",0.0154764907576913,-0.0213768363504852,"238.99623"
"239.16754",0.00967375162987447,0.00325502293913637,"239.16754"
"240.06263",0.00775570077245208,-0.00335561957692838,"240.06263"
"241.10896",0.0253128552215077,0.0121208120375456,"241.10896"
"241.18440",0.0299969658126579,0.00872587166110301,"241.18440"
"242.08268",0.0184809859555778,-0.0813702885232854,"242.08268"
"242.14819",0.0167431528067359,-0.00101021357629814,"242.14819"
"243.06543",0.0426596016689086,-0.0668193369934116,"243.06543"
"243.14223",0.00261388851163154,-0.0160394395765822,"243.14223"
"243.17683",0.0126028365053069,-0.000155784326146204,"243.17683"
"243.19958",0.0210769876122836,0.0143951431129186,"243.19958"
"245.04547",0.0121823635993414,-0.0724328563180861,"245.04547"
"245.07388",0.00999613984568154,-0.0201684600809173,"245.07388"
"246.04907",0.01043273511275,-0.022914210045793,"246.04907"
"247.06664",0.0206719841371274,-0.0116651504148914,"247.06664"
"247.13895",0.0264208554901684,0.000682718569535195,"247.13895"
"248.97708",0.0121192661119322,-0.0187182991602485,"248.97708"
"249.15245",0.0232999586743311,0.0169891183483611,"249.15245"
"250.04771",0.00862597565457341,-0.0310797127346237,"250.04771"
"250.08959",0.00260684776670602,-0.0241752162459551,"250.08959"
"250.14840",0.0232611454412516,-0.0326849807709044,"250.14840"
"251.08500",0.0033643830235756,-0.0205606255159438,"251.08500"
"251.20483",0.0477215327185028,0.0313062337617213,"251.20483"
"251.99967",0.0112543615940343,-0.0383304271674563,"251.99967"
"252.10605",0.00138131007366202,-0.0164519289549336,"252.10605"
"252.95477",0.00505838016087341,-0.0167484853990642,"252.95477"
"253.10760",0.0206515705353525,0.000465375343323259,"253.10760"
"253.21990",0.0943059647387229,0.0478438580100465,"253.21990"
"254.08180",0.0133128497071126,-0.0720154247718388,"254.08180"
"254.14742",-0.00376028239866509,-0.0156577418879796,"254.14742"
"254.88198",0.00968714014044184,-0.0290275422817698,"254.88198"
"254.98179",0.0162867665700122,-0.0464001301024815,"254.98179"
"255.00374",0.00626576971126698,-0.0142751279953851,"255.00374"
"255.16822",0.0209785532115041,0.00564815852879072,"255.16822"
"255.23560",0.0994192846143813,0.0172167659165545,"255.23560"
"256.06279",0.0268375550502427,-0.0410722243972912,"256.06279"
"256.09887",0.0103443407699748,-0.00804723484777377,"256.09887"
"257.18026",0.0130533452099631,0.00362481700996885,"257.18026"
"259.03503",0.0196683932439431,-0.0451976395411618,"259.03503"
"259.13101",0.0141132725402532,-0.00284403849006713,"259.13101"
"260.04112",0.0130261672825553,-0.0128860329133504,"260.04112"
"261.03505",0.0182738731657957,-0.0404764120808096,"261.03505"
"261.14184",0.0300776484077297,-0.00440751871794829,"261.14184"
"261.94027",0.0177817885542172,-0.0135720570112715,"261.94027"
"262.09461",0.000348386209624417,-0.0134872122650915,"262.09461"
"263.03630",0.0025059139983024,-0.0233129527351437,"263.03630"
"263.06374",0.00771459869567891,-0.0032657553553811,"263.06374"
"263.13329",0.0247544388360275,-0.0055018182735558,"263.13329"
"263.16468",0.020192478848259,0.0169465785584743,"263.16468"
"265.02313",0.0237670542310042,-0.0455466809766881,"265.02313"
"265.22190",0.038387489258132,0.0115013544115745,"265.22190"
"266.02040",0.0156771845751378,-0.0540173937926977,"266.02040"
"266.08791",0.00948477562870107,-0.00970478938179394,"266.08791"
"266.81757",0.0135768380018386,-0.00342142007002301,"266.81757"
"267.07775",0.0275132730697731,-0.072055442440597,"267.07775"
"267.12020",0.00196142692433059,-0.0177035596261358,"267.12020"
"267.23540",0.0595313727996665,0.0254588635658159,"267.23540"
"268.10704",0.0120216315248797,-0.00488167590354455,"268.10704"
"269.09247",0.0357706453631441,-0.107251894042362,"269.09247"
"269.21626",0.0729745216839141,0.00998446479398268,"269.21626"
"269.25119",0.0332338675724653,0.0127507137270165,"269.25119"
"271.00348",0.0082572495748058,-0.00516318231171547,"271.00348"
"271.23011",0.0678675011310855,0.0203142964387213,"271.23011"
"272.01003",0.0090837552140931,-0.0358745271981319,"272.01003"
"272.09269",0.0127738501449031,-0.08594525801955,"272.09269"
"273.05563",0.00873064149761407,-0.0304729545614537,"273.05563"
"273.09249",0.0226316933185079,-0.0341828106445958,"273.09249"
"273.19031",0.0188014241074321,-0.00329473053069,"273.19031"
"273.22751",0.0174566218975401,0.00843409496472718,"273.22751"
